id,name,active
1,Pete Alonzi,TRUE
2,Jeffrey Woo,TRUE
3,Judy Fox,TRUE
4,Jeremy Bolton,TRUE
5,Bill Basener,TRUE
6,Marc Ruggiano,TRUE
7,Adam Tashman,TRUE
8,Sree Mallikarjun,TRUE
9,Eric Tassone,TRUE
10,Jeremy Bolton,TRUE
11,Bill Basener,TRUE
12,Renee Cummings,TRUE
13,Stephen Baek,TRUE
14,Raf Alvarado,TRUE
15,Rich Nguyen,TRUE
16,Jon Kropko,TRUE
17,Nada Basit,TRUE
18,Panagiotis Apostolellis,TRUE
19,Mike Porter,TRUE
20,Luis Felipe Rosado Murillo,TRUE
21,Jason Williamson,TRUE
22,Eric Field,TRUE
23,Peter Gedeck,TRUE
24,Teague Henry,TRUE
25,Eric Tassone,TRUE
26,Abbas Kazemipour,TRUE
27,Cait Dreisbach,TRUE
28,Lei Xie,TRUE
29,"Jeremy Bolton, Peter Gedeck, Eric Tassone, Abbas Kazemipour, Cait Dreisbach, Lei Xie",TRUE
30,Raf Alvarado & Teague Henry,TRUE
